Prec [mm],ET [mm/h],T [C],Q [m3/s],LAT [C]
0,0.053583333,11.5,0.4015,11.63065417
0,0.053583333,13.79,0.39025,11.63065417
0,0.076916667,14.56,0.382,11.63065417
0.067,0.076916667,17.77,0.373,11.63065417
0.033,0.076916667,17.77,0.367,11.63065417
0,0.076916667,17.04,0.36,11.63065417
0,0.076916667,16.66,0.3555,11.63065417
0,0.076916667,17.74,0.354,11.63065417
0,0.076916667,16.41,0.354,11.63065417
0,0.076916667,14.65,0.354,11.63065417
0,0.076916667,11.69,0.348,11.63065417
0,0.076916667,10.79,0.3435,11.63065417
0,0.076916667,9.54,0.342,11.63065417
0,0.076916667,8.54,0.342,11.63065417
0,0.076916667,7.72,0.339,11.63065417
0,0.074541667,6.85,0.336,11.63065417
0,0.053583333,6.223,0.336,11.63065417
0,0.053583333,5.286,0.33,11.63065417
0,0.053583333,4.447,0.33,11.63065417
0,0.077541667,4.599,0.3285,11.63065417
0,0.077541667,4.248,0.324,11.63065417
0,0.077541667,3.208,0.324,11.63065417
0,0.077541667,2.489,0.324,11.63065417
0.007,0.077541667,3.914,0.324,11.63065417
0,0.077541667,7.54,0.3195,11.63065417
0,0.077541667,11.45,0.324,11.63065417
0,0.053583333,13.83,0.324,11.63065417
0,0.053583333,16.04,0.324,11.63065417
0,0.053583333,15.81,0.318,11.63065417
0,0.053583333,16.43,0.318,11.63065417
0,0.053583333,16.3,0.3135,11.63065417
0,0.053583333,16.3,0.312,11.63065417
0,0.053583333,15.17,0.3105,11.63065417
0,0.053583333,13.87,0.306,11.63065417
0,0.053583333,11.76,0.306,11.63065417
0,0.053583333,10.03,0.3015,11.63065417
0,0.053583333,9.1,0.3,11.63065417
0,0.053583333,8.1,0.3045,11.63065417
0,0.053583333,7.7,0.3015,11.63065417
0,0.077541667,6.582,0.3015,11.63065417
0,0.077541667,10.86,0.3,11.63065417
0,0.077541667,5.759,0.3,11.63065417
0,0.077541667,6.043,0.3,11.63065417
0,0.052541667,4.994,0.3,11.63065417
0,0.052541667,5.032,0.29875,11.63065417
0,0.052541667,5.431,0.295,11.63065417
0,0.052541667,7.52,0.295,11.63065417
0,0.052541667,8.34,0.295,11.63065417
0,0.052541667,10.02,0.295,11.63065417
0,0.052541667,11.63,0.295,11.63065417
0,0.077541667,15.33,0.295,11.63065417
0,0.077541667,16.89,0.295,11.63065417
0,0.077541667,16.44,0.295,11.63065417
0,0.077541667,16.38,0.2905,11.63065417
0,0.077541667,16.27,0.289,11.63065417
0,0.077541667,17.66,0.289,11.63065417
0,0.077541667,15.59,0.283,11.63065417
0,0.077541667,14.52,0.283,11.63065417
0,0.077541667,13.19,0.283,11.63065417
0,0.077541667,11.96,0.283,11.63065417
0,0.077541667,11.54,0.30475,11.63065417
0,0.077541667,11.13,0.3345,11.63065417
0,0.077541667,11.25,0.3255,11.63065417
0,0.052541667,11.25,0.3045,11.63065417
